Date;Price;Open;High;Low;Vol.;Change %
09/01/2020;10,225;10,175;10,250;10,125;5.99M;0.00%
08/31/2020;10,225;10,325;10,375;10,225;6.48M;-0.97%
08/28/2020;10,325;10,400;10,400;10,250;3.59M;-0.24%
08/27/2020;10,350;10,450;10,450;10,300;3.61M;0.00%
08/26/2020;10,350;10,425;10,500;10,325;4.97M;-0.72%
08/25/2020;10,425;10,225;10,475;10,200;8.46M;1.96%
08/24/2020;10,225;10,150;10,275;10,150;7.07M;1.24%
08/19/2020;10,100;10,200;10,275;10,100;5.37M;-0.98%
08/18/2020;10,200;10,200;10,275;10,125;6.11M;0.25%
08/14/2020;10,175;10,250;10,300;10,125;6.38M;-0.73%
08/13/2020;10,250;10,150;10,275;10,150;8.84M;0.99%
08/12/2020;10,150;10,225;10,300;10,125;7.69M;-0.49%
08/11/2020;10,200;10,175;10,350;10,125;8.83M;0.25%
08/10/2020;10,175;10,200;10,250;10,050;8.66M;0.00%
08/07/2020;10,175;10,325;10,375;10,075;11.49M;-1.45%
08/06/2020;10,325;10,575;10,600;10,325;11.91M;-2.13%
08/05/2020;10,550;10,000;10,625;9,925;25.77M;5.24%
08/04/2020;10,025;9,425;10,425;9,200;45.80M;7.80%
08/03/2020;9,300;9,200;9,400;9,075;20.48M;1.09%
07/30/2020;9,200;9,125;9,200;9,075;8.50M;0.82%
07/29/2020;9,125;9,075;9,125;9,050;6.26M;0.83%
07/28/2020;9,050;9,075;9,150;9,000;9.22M;0.56%
07/27/2020;9,000;9,200;9,300;9,000;12.85M;-1.91%
07/24/2020;9,175;9,300;9,325;9,175;9.94M;-2.39%
07/23/2020;9,400;9,375;9,475;9,375;9.04M;0.27%
07/22/2020;9,375;9,375;9,425;9,325;5.86M;0.54%
07/21/2020;9,325;9,325;9,425;9,325;7.94M;0.00%
07/20/2020;9,325;9,350;9,425;9,225;13.80M;0.54%
07/17/2020;9,275;9,650;9,650;9,125;18.97M;-3.13%
07/16/2020;9,575;9,500;9,650;9,450;12.67M;1.32%
07/15/2020;9,450;9,450;9,500;9,425;5.44M;0.00%
07/14/2020;9,450;9,400;9,450;9,250;4.86M;2.16%
07/13/2020;9,250;9,325;9,350;9,225;4.05M;0.27%
07/10/2020;9,225;9,350;9,400;9,200;6.83M;-1.34%
07/09/2020;9,350;9,500;9,525;9,350;5.61M;-1.06%
07/08/2020;9,450;9,425;9,550;9,300;9.14M;-0.53%
07/07/2020;9,500;9,425;9,500;9,400;6.63M;0.80%
07/06/2020;9,425;9,425;9,525;9,400;3.04M;0.00%
07/03/2020;9,425;9,525;9,600;9,400;3.65M;-1.31%
07/02/2020;9,550;9,250;9,550;9,225;7.75M;3.80%
07/01/2020;9,200;9,350;9,400;9,200;7.02M;-1.60%
06/30/2020;9,350;9,450;9,500;9,350;13.92M;-0.53%
06/29/2020;9,400;9,200;9,450;9,125;12.02M;1.90%
06/26/2020;9,225;9,075;9,250;9,000;10.45M;2.79%
06/25/2020;8,975;9,075;9,075;8,950;5.61M;-1.10%
06/24/2020;9,075;8,950;9,075;8,925;6.52M;1.68%
06/23/2020;8,925;9,150;9,150;8,925;12.10M;-1.92%
06/22/2020;9,100;8,925;9,250;8,900;15.59M;1.96%
06/19/2020;8,925;8,700;8,925;8,675;6.38M;2.00%
06/18/2020;8,750;8,900;8,975;8,750;6.35M;-2.23%
06/17/2020;8,950;8,875;9,000;8,875;7.45M;0.85%
06/16/2020;8,875;8,700;8,900;8,700;9.44M;2.01%
06/15/2020;8,700;8,600;8,800;8,575;12.06M;1.16%
06/12/2020;8,600;8,600;8,625;8,200;15.41M;0.00%
06/11/2020;8,600;8,575;8,750;8,450;11.52M;-0.58%
06/10/2020;8,650;8,800;8,900;8,625;15.36M;-2.81%
06/09/2020;8,900;8,850;8,975;8,800;21.39M;1.42%
06/08/2020;8,775;8,725;9,000;8,700;24.47M;1.74%
06/05/2020;8,625;8,525;8,625;8,400;13.69M;1.47%
06/04/2020;8,500;8,525;8,700;8,500;28.17M;0.00%
06/03/2020;8,500;8,600;8,800;8,400;38.87M;0.29%
06/02/2020;8,475;8,250;8,550;8,250;39.99M;3.99%
05/29/2020;8,150;8,350;8,500;8,150;61.13M;-2.10%
05/28/2020;8,325;8,075;8,575;7,750;204.45M;0.00%
